Matrix Size,Naive Multiplication,Naive Loop Unrolling (Two),Naive Loop Unrolling (Four),Winograd Original,Winograd Scaled,Strassen Naive,Strassen Winograd,Sequential Block,Paralel Block,Enhanced Paralel Block
4,0,5304,0,2262,0,1928,0,2714,0,4245,0,7101,0,8308,0,2196,4,7336,7,7906
8,0,0055,0,003,0,0028,0,0036,0,0057,0,2359,0,1187,0,0086,0,1377,0,0792
16,0,0278,0,0185,0,0241,0,0318,0,0437,0,9314,1,0944,0,0359,0,871,0,2086
32,0,251,0,1432,0,2168,0,1684,0,3133,11,2349,7,3094,0,2974,9,6247,0,8464
64,2,1198,1,3746,1,5026,1,44,2,1083,42,5661,44,7559,3,4344,58,8301,2,3559
128,23,6383,10,3452,10,7367,12,9562,12,5415,287,6723,295,9942,18,5761,368,4014,21,0567
256,176,6505,109,8378,114,7485,128,5092,127,6118,2104,3556,2163,7975,140,4358,2431,0755,125,4466
512,1547,8701,890,7104,987,8686,1115,0163,1129,7544,15027,5693,15507,7458,1171,5309,21508,7215,1019,1357
